id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
1345010644852355814,Recreio dos Bandeirantes,Casa/Apto Inteiro,5,2.0,,,-23.0206089,-43.4761398,4.0,1,f
1203628038592140842,Botafogo,Casa/Apto Inteiro,3,0.0,237.0,Baixo,-22.94698839720704,-43.182989330628345,4.75,4,f
1358690784007983028,Copacabana,Casa/Apto Inteiro,4,2.0,449.0,Médio-Baixo,-22.96733,-43.17927,5.0,3,t
14150801,Recreio dos Bandeirantes,Casa/Apto Inteiro,6,2.0,500.0,Médio-Baixo,-23.02437,-43.47613,,0,f
1070483457458840180,Catete,Casa/Apto Inteiro,4,1.0,,,-22.92589247894688,-43.17735716700554,,0,f
1258854480645325554,Copacabana,Casa/Apto Inteiro,5,3.0,682.0,Médio,-22.9746,-43.18883,5.0,1,
1357896049467342467,Leblon,Casa/Apto Inteiro,5,2.0,796.0,Médio,-22.98708,-43.22743,4.86,7,f
5124202,Copacabana,Quarto Privado,2,1.0,99.0,Muito Baixo,-22.96287,-43.17689,4.06,16,f
944362434341621094,Copacabana,Casa/Apto Inteiro,2,1.0,209.0,Baixo,-22.98305,-43.19114,4.89,61,t
827615492434173677,Botafogo,Quarto Privado,4,1.0,127.0,Muito Baixo,-22.95336,-43.1838,5.0,5,t
1063676575440182986,Copacabana,Casa/Apto Inteiro,6,3.0,1071.0,Médio,-22.97924903005373,-43.19095730781555,5.0,14,t
1127046461102395986,Barra da Tijuca,Casa/Apto Inteiro,2,1.0,185.0,Baixo,-23.0050224267308,-43.31465978175402,4.5,2,f
53362745,Curicica,Casa/Apto Inteiro,2,1.0,,,-22.952942,-43.38089,,0,f
13854091,Freguesia (Jacarepaguá),Casa/Apto Inteiro,6,3.0,1000.0,Médio,-22.9312,-43.32611,,0,f
1190614856981567743,Copacabana,Quarto Privado,3,1.0,140.0,Muito Baixo,-22.96568,-43.17622,4.61,61,f
5467221,Catete,Casa/Apto Inteiro,2,1.0,1286.0,Médio-Alto,-22.92524,-43.18009,,0,f
608872645888423803,Glória,Casa/Apto Inteiro,4,2.0,315.0,Médio-Baixo,-22.920435,-43.180424,4.88,52,t
1427525469909987485,Copacabana,Casa/Apto Inteiro,2,1.0,245.0,Baixo,-22.97087451068792,-43.18774167448282,,0,f
1211633532455559661,Jacarepaguá,Casa/Apto Inteiro,5,2.0,220.0,Baixo,-22.96808,-43.39688,4.8,15,t
1417499268232480561,Catete,Quarto Privado,2,1.0,135.0,Muito Baixo,-22.924802393304457,-43.18389287400952,,0,f
775330880557684961,Copacabana,Casa/Apto Inteiro,13,5.0,3163.0,Alto,-22.971337259137144,-43.18402962698364,4.89,35,t
2353745,Humaitá,Quarto Privado,3,1.0,170.0,Baixo,-22.95595,-43.19946,4.92,93,t
991102524537510471,São Conrado,Quarto Privado,4,,,,-22.9980396,-43.2568208,,0,f
1191918627901452203,Vargem Pequena,Quarto Privado,2,4.0,200.0,Baixo,-22.99024425160932,-43.45712286886474,,0,f
1237611856853195868,Copacabana,Quarto Compartilhado,4,1.0,90.0,Muito Baixo,-22.96538232417685,-43.17620607035268,4.67,6,f
31000522,Copacabana,Casa/Apto Inteiro,8,2.0,357.0,Médio-Baixo,-22.97277,-43.19195,4.84,107,t
18036273,Copacabana,Casa/Apto Inteiro,4,2.0,367.0,Médio-Baixo,-22.97584,-43.19535,,0,f
960134765323352298,Santa Teresa,Casa/Apto Inteiro,4,1.0,,,-22.914983953334676,-43.18336229771376,2.33,3,f
822350106068230989,Copacabana,Casa/Apto Inteiro,5,2.0,499.0,Médio-Baixo,-22.96573343350034,-43.17917895720243,3.0,1,f
695857334968550331,Copacabana,Casa/Apto Inteiro,16,4.0,,,-22.97468,-43.18957,,0,t
1118677526078583404,Praça da Bandeira,Casa/Apto Inteiro,2,1.0,130.0,Muito Baixo,-22.914873087862293,-43.21238245815039,5.0,56,t
1283266744533621493,Engenho de Dentro,Casa/Apto Inteiro,4,1.0,340.0,Médio-Baixo,-22.8941297,-43.2986444,4.6,5,f
2559802,Glória,Casa/Apto Inteiro,9,5.0,25000.0,Muito Alto,-22.92239,-43.17506,5.0,7,t
1424977472461398070,Centro,Casa/Apto Inteiro,2,1.0,188.0,Baixo,-22.90439850999344,-43.181019723415375,,0,t
12675486,Gamboa,Casa/Apto Inteiro,10,2.0,2500.0,Alto,-22.89622,-43.19508,,0,f
610137518991670926,Jacarepaguá,Quarto Privado,2,1.0,1378.0,Médio-Alto,-22.9673,-43.38509,5.0,1,f
1363858338851414849,Centro,Casa/Apto Inteiro,4,1.0,134.0,Muito Baixo,-22.9165,-43.1775,4.86,7,t
1408928894357896932,Copacabana,Casa/Apto Inteiro,4,1.0,180.0,Baixo,-22.9683537,-43.1823213,5.0,2,f
828630933115745882,Ipanema,Quarto Privado,2,1.0,151.0,Baixo,-22.984625759082164,-43.19948221281763,,0,f
51703,Copacabana,Casa/Apto Inteiro,2,0.0,201.0,Baixo,-22.981731,-43.190571,4.78,309,t
1426864643957194630,Ipanema,Casa/Apto Inteiro,3,2.0,921.0,Médio,-22.98683,-43.19491,,0,f
1241929452808882549,Recreio dos Bandeirantes,Casa/Apto Inteiro,12,5.0,2047.0,Alto,-23.014240956853342,-43.49251974374056,4.96,24,t
776862912591244078,Laranjeiras,Casa/Apto Inteiro,4,2.0,290.0,Baixo,-22.93626,-43.19001,4.94,17,t
1086499103174646740,Ipanema,Casa/Apto Inteiro,4,1.0,257.0,Baixo,-22.9866994,-43.1940511,4.25,8,f
